District,Crop,Target Column,Best Parameters,MSE,R²,MAE,MAPE,RMSE
Sangli,Chickpea,CHICKPEA AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.1, 'svr__C': 500}",0.004697208943498038,0.9998928022855218,0.057710632728462746,0.275105768136151,0.06853618710942445
Sangli,Chickpea,CHICKPEA PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.1, 'svr__C': 1000}",0.017793400860215334,0.999678368463686,0.11457283542983615,1.0589448416405705,0.13339190702668335
Sangli,Chickpea,CHICKPEA YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 'auto', 'svr__epsilon': 0.01, 'svr__C': 1000}",4.1448281343142375,0.9998515779903736,1.7361379662487273,0.30539694720860117,2.035885098504883
Sangli,Pigeonpea,PIGEONPEA AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 1000}",5.311022074943558e-05,0.9999960035219461,0.0058170084488648015,0.0575729140782285,0.00728767594980976
Sangli,Pigeonpea,PIGEONPEA PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.001, 'svr__C': 1000}",0.0009711537871815537,0.9999455469841293,0.017387576434538265,0.2077938358877527,0.031163340436826628
Sangli,Pigeonpea,PIGEONPEA YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 'scale', 'svr__epsilon': 0.5, 'svr__C': 1000}",14372.049444111557,0.8089872824918721,46.16502086169529,6.184891374685946,119.88348278270679
Sangli,Minor Pulses,MINOR PULSES AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.001, 'svr__C': 1000}",0.01249470072715751,0.9999336904040357,0.0932261534799259,0.2521303014349628,0.11177969729408606
Sangli,Minor Pulses,MINOR PULSES PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.1, 'svr__C': 1000}",0.02481188211106106,0.9995167035197298,0.14316588722926324,1.241922874449633,0.15751787870289854
Sangli,Minor Pulses,MINOR PULSES YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.01, 'svr__C': 1000}",9.852936388549782,0.9990842067438905,2.0721071668801843,0.5418054066789422,3.1389387360300267
Sangli,Groundnut,GROUNDNUT AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.2, 'svr__C': 1000}",0.11344372015430251,0.9995749197900821,0.2546406254591538,0.6265105364368168,0.3368140735692357
Sangli,Groundnut,GROUNDNUT PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.5, 'svr__C': 1000}",0.274930392859107,0.9990270085540816,0.41976527609071984,0.9453396151432015,0.5243380520800555
Sangli,Groundnut,GROUNDNUT YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.2, 'svr__C': 1000}",8238.037000756804,0.9250775471697923,39.03732129061893,2.889297875870215,90.76363258903207
Sangli,Sesamum,SESAMUM AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 100}",9.637653896448404e-07,0.9999958351567091,0.0008440855771830433,inf,0.0009817155339734828
Sangli,Sesamum,SESAMUM PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.001, 'svr__C': 1000}",0.0,1.0,0.0,,0.0
Sangli,Sesamum,SESAMUM YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 'auto', 'svr__epsilon': 0.2, 'svr__C': 1000}",4.020560230695563,0.9998989209120088,1.1575633248330528,0.3049923038357423,2.0051334695464944
Sangli,Oilseeds,OILSEEDS AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 500}",1.9107304944952814,0.9956699556161005,0.8803661730474605,1.3693438205186739,1.3822917544770645
Sangli,Oilseeds,OILSEEDS PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.01, 'svr__C': 1000}",0.2845242277264946,0.9998297205905822,0.3713849967697795,0.5004248036577075,0.5334081249160858
Sangli,Oilseeds,OILSEEDS YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.001, 'svr__C': 1000}",330.3185773712319,0.9965156341112096,11.553113544528163,0.9016444841724323,18.174668562899075
Sangli,Sugarcane,SUGARCANE AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.01, 'svr__C': 500}",0.041182560560660844,0.9998184798984467,0.14327146870133395,0.38010675606708894,0.20293486777944506
Sangli,Sugarcane,SUGARCANE PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.5, 'svr__C': 500}",59.43902954085361,0.9979802673419841,6.896347467129188,2.0819336785311036,7.7096711694373585
Sangli,Sugarcane,SUGARCANE YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.1, 'svr__epsilon': 0.2, 'svr__C': 1000}",72515.81917252681,0.9647317881408202,123.61745976126299,1.8274499856314548,269.287614220422
Sangli,Cotton,COTTON AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 1000}",6.493821547428664e-05,0.9998291842592959,0.004330159417321753,0.1432662220467397,0.008058425123700452
Sangli,Cotton,COTTON PRODUCTION (1000 tons),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.1, 'svr__C': 1000}",0.005534974285930027,0.9720945046417695,0.060658333620275666,inf,0.07439740779039299
Sangli,Cotton,COTTON YIELD (Kg per ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.01, 'svr__epsilon': 0.001, 'svr__C': 1000}",52.57848319425569,0.9964122879676209,3.8259274018482654,1.1425875610107612,7.251102205475778
Sangli,Fruits and Vegetables,FRUITS AND VEGETABLES AREA (1000 ha),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.001, 'svr__C': 1000}",0.18902541263238792,0.9991736370067014,0.14958301673465,inf,0.4347705287072572
Sangli,Fertilizers,NITROGEN SHARE IN NPK (Percent),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.1, 'svr__C': 1000}",0.03499765931324846,0.9992060898431003,0.1522561753116892,0.2698922180976703,0.18707661348562107
Sangli,Fertilizers,PHOSPHATE SHARE IN NPK (Percent),"{'svr__kernel': 'rbf', 'svr__gamma': 0.001, 'svr__epsilon': 0.1, 'svr__C': 500}",0.005558658720963309,0.9995991670409794,0.06122048126065816,0.27734618236812525,0.07455641301030588
