Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AND VEGETABLES AREA (1000 ha),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Irrigated Area,Annual Rainfall
1987,Beed,7,3,429,21,18,857,377,307,815,143,67,469,1,2,2000,21,9,429,42,19,452,91,34,372,14,14,1000,7,2,257,158,85,534,6,55,9500,29,4,138,22,61,14,12,5004,26,6,5,2567,13,3,3,20,33,684,175,721
1988,Beed,7,4,592,29,31,1072,354,183,518,151,48,321,2,2,652,22,11,496,47,23,502,87,26,304,30,26,862,15,1,97,173,78,450,9,89,9652,33,4,106,39,63,12,10,4516,26,5,4,1904,11,2,2,20,33,1111,253,1039
1989,Beed,7,6,845,33,29,888,387,290,750,157,77,489,2,2,842,23,11,482,49,27,565,79,27,344,29,29,976,11,2,150,164,96,583,14,104,7317,29,5,159,39,63,16,13,5859,27,7,6,2149,10,2,2,19,33,703,296,1082
1990,Beed,8,6,800,32,32,1016,386,296,768,164,85,518,5,4,867,23,11,476,52,12,229,60,23,385,34,30,882,10,3,344,175,84,480,21,150,7131,24,3,125,38,56,19,16,9819,33,11,9,3127,11,4,3,19,32,858,289,984
1991,Beed,8,2,253,16,10,601,288,96,331,171,52,304,4,3,591,14,4,273,56,9,152,36,9,248,28,9,306,10,2,189,105,26,250,16,140,8801,34,3,79,30,59,17,15,6636,29,8,7,2645,12,3,3,19,33,547,252,406
1992,Beed,6,4,705,17,17,971,317,314,991,188,195,1042,4,5,1405,18,7,392,54,25,452,44,20,441,24,17,736,9,3,375,144,80,553,13,92,7151,35,5,142,29,67,22,20,6997,26,8,8,1974,7,2,2,19,33,718,220,628
1993,Beed,6,4,750,28,28,1018,368,309,840,179,147,818,5,7,1426,21,13,618,47,23,481,48,21,432,28,24,869,14,6,415,159,105,660,10,69,7277,38,6,163,20,70,25,22,7360,24,9,8,1736,6,2,2,19,33,796,241,807
1994,Beed,5,4,778,23,24,1035,339,219,646,168,81,482,4,3,821,17,10,578,50,13,255,47,9,197,21,13,607,12,3,218,133,66,498,20,149,7647,62,7,106,20,60,23,20,9369,30,11,10,3190,10,4,3,19,32,883,225,470
1995,Beed,5,2,426,25,26,1052,317,310,979,194,173,888,5,6,1283,19,9,497,53,23,428,37,14,391,16,13,834,10,3,255,122,73,596,22,154,6879,85,14,159,28,54,25,22,9553,25,12,10,7678,20,9,8,19,33,770,234,654
1996,Beed,5,4,761,34,41,1194,322,282,875,208,191,918,4,5,1297,20,12,574,57,27,485,38,14,372,21,21,986,9,3,272,141,86,614,15,89,5904,81,13,155,25,68,26,22,7259,25,9,8,2110,7,3,2,19,33,817,255,794
1997,Beed,5,8,1538,29,21,720,334,236,706,163,84,515,5,7,1489,19,5,286,47,8,164,41,9,225,21,8,374,8,1,182,118,28,237,9,116,12360,92,9,98,27,60,29,24,12221,33,16,13,2452,7,3,3,19,33,720,309,827
1998,Beed,4,1,400,41,46,1140,313,193,616,177,117,660,6,10,1786,24,12,500,46,28,616,44,18,408,16,10,658,7,2,264,109,49,449,20,164,8096,110,16,141,30,58,33,29,15152,32,18,16,4773,10,6,5,20,33,822,318,1137
1999,Beed,4,2,455,39,48,1227,325,246,755,182,124,685,7,11,1677,25,13,504,48,18,379,44,15,337,18,13,694,9,3,315,112,61,550,34,238,6969,111,15,133,27,55,36,32,18419,33,21,19,6485,12,8,7,19,33,729,290,678
2000,Beed,3,2,588,43,47,1095,346,235,680,214,171,798,8,8,1026,27,14,506,53,19,360,46,15,328,18,12,639,10,2,242,104,46,446,34,255,7506,83,12,141,3,60,70,42,15947,28,33,19,6566,12,13,8,19,33,661,256,582
2001,Beed,2,2,625,38,37,971,331,177,535,151,74,491,4,6,1357,25,11,429,44,11,253,35,10,279,12,7,573,6,1,217,89,41,465,35,231,6646,108,14,126,4,61,42,35,15554,29,20,17,5496,10,7,6,20,33,520,219,722
2002,Beed,2,1,250,31,30,961,317,229,723,187,157,839,6,5,929,21,10,493,49,17,350,35,21,596,11,7,580,6,2,321,97,58,594,34,222,6515,79,9,120,4,60,44,36,15390,28,20,17,6688,12,9,7,20,33,548,270,640
2003,Beed,3,1,400,26,14,527,322,122,379,181,100,555,5,3,640,24,8,346,45,10,225,29,15,505,10,4,444,7,2,258,105,49,462,22,85,3931,95,10,107,3,56,33,29,15397,34,20,17,4963,11,7,6,20,34,518,109,637
2004,Beed,2,1,261,32,28,878,313,218,697,176,109,619,5,5,1011,28,15,530,44,24,540,28,15,546,9,6,652,6,1,214,105,60,568,13,88,6683,102,20,195,9,52,36,31,17665,34,23,20,7212,14,9,8,20,33,694,134,662
2005,Beed,2,1,409,43,45,1054,308,194,630,191,129,676,7,11,1676,35,19,534,52,52,990,25,12,489,12,8,641,4,1,257,116,82,709,23,161,6893,139,27,198,17,52,46,36,20741,31,27,22,11436,17,15,12,19,33,1053,145,675
2006,Beed,2,2,750,52,67,1277,302,234,775,184,154,837,8,15,1909,40,26,654,53,45,842,30,15,488,12,8,690,5,1,204,119,73,614,47,312,6684,155,36,231,0,51,53,44,25625,33,34,28,13276,17,18,15,19,33,1114,166,697
2007,Beed,2,1,467,62,90,1451,284,232,819,163,117,718,8,12,1459,46,33,726,51,32,622,35,18,502,10,6,673,6,1,182,113,52,455,74,650,8781,188,49,261,0,51,55,45,24299,30,32,27,15666,19,21,17,20,33,836,180,570
2008,Beed,1,0,400,65,80,1232,311,251,807,135,98,727,11,12,1110,45,29,636,48,23,473,15,5,329,9,6,670,4,1,154,117,37,313,44,407,9156,205,35,173,0,58,58,48,20504,27,27,23,11182,15,15,12,20,33,788,193,607
2009,Beed,1,0,283,67,92,1372,239,196,818,132,103,785,12,11,943,67,41,604,56,26,456,19,7,388,10,7,732,3,0,131,105,54,520,43,320,7397,223,51,229,0,52,61,47,29620,33,40,30,13231,15,18,14,20,34,906,-20,710
2010,Beed,1,0,425,64,83,1298,228,184,807,123,113,921,10,14,1475,58,41,703,62,34,546,31,23,740,7,5,723,2,1,271,97,110,1130,59,387,6590,277,72,259,0,48,82,60,40248,32,54,40,26118,20,35,26,20,34,1105,-20,710
2011,Beed,1,0,467,40,53,1326,199,150,755,107,109,1017,9,10,1153,40,24,611,50,29,575,15,12,797,8,7,932,2,1,289,96,130,1347,54,349,6507,329,71,216,19,55,85,74,38987,34,52,45,12522,11,17,15,20,33,885,-20,710
2012,Beed,1,0,450,28,27,976,215,78,365,107,69,644,11,8,712,40,20,498,50,20,403,16,3,204,5,3,578,2,0,242,92,133,1454,51,282,5481,329,58,176,14,54,61,45,25882,31,35,26,13169,16,18,13,20,34,690,-20,432
2013,Beed,1,0,600,58,57,988,280,193,689,122,130,1067,15,19,1263,63,47,745,56,38,668,25,14,554,8,7,909,2,1,333,149,235,1574,46,257,5581,339,98,290,0,55,77,56,31768,30,42,31,14982,14,20,14,20,33,893,-20,691
2014,Beed,0,0,250,59,40,677,270,145,538,127,56,442,16,11,700,64,24,373,61,10,168,22,6,253,12,4,290,3,1,172,138,46,333,38,172,4584,373,30,81,0,57,71,52,26746,29,36,26,13524,14,18,13,20,33,725,-20,457
2015,Beed,0,0,0,48,13,275,301,86,286,128,33,257,17,5,314,71,19,263,72,12,162,28,1,43,18,1,49,3,0,76,173,26,148,36,80,2209,334,18,54,0,52,54,41,28500,35,36,27,11387,14,15,11,20,34,707,-20,403
2016,Beed,0,0,700,47,79,1683,469,243,519,145,93,643,42,82,1953,118,101,854,89,82,915,33,17,506,29,11,391,6,1,184,0,0,0,12,50,4034,341,86,251,0,48,62,46,34132,35,45,33,17419,18,23,17,20,34,707,-20,403
1966,Bhandara,268,158,590,32,10,313,41,18,444,0,0,0,1,1,545,10,4,400,6,2,333,208,16,78,1,0,400,0,0,250,91,6,61,1,3,5000,0,0,0,4,67,2,1,361,33,1,1,0,0,0,0,21,33,2114,99,1183
1967,Bhandara,271,247,911,33,7,212,40,13,315,0,0,0,1,1,600,12,4,333,7,2,286,228,12,52,1,1,500,1,0,286,102,4,40,0,2,5250,0,0,0,4,74,6,5,861,26,2,2,0,0,0,0,20,33,1320,123,1416
1968,Bhandara,271,259,955,33,15,453,38,14,367,0,0,0,1,1,545,12,6,488,7,4,571,86,22,257,1,1,1111,1,0,286,39,6,148,1,5,7500,0,0,0,4,64,6,5,1159,33,3,2,111,3,0,0,20,33,1371,130,1226
1969,Bhandara,273,291,1065,34,13,378,39,13,342,0,0,0,1,0,364,12,4,361,7,4,479,85,23,268,1,1,600,1,0,375,41,8,184,1,5,7143,0,0,0,5,55,6,5,1050,23,3,2,1012,22,3,2,21,33,1416,135,1279
1970,Bhandara,285,346,1213,29,14,478,38,6,155,0,0,0,1,0,286,9,4,453,6,3,444,87,21,239,1,1,583,1,0,200,38,6,156,1,3,6400,0,0,0,3,50,8,6,1681,27,4,3,1404,23,4,3,20,32,2295,132,1459
1971,Bhandara,278,277,996,33,14,420,37,9,245,0,0,0,1,0,400,12,6,513,7,4,507,94,21,227,1,1,615,1,0,375,39,6,147,1,3,5667,0,0,0,5,49,10,7,2285,30,6,4,1598,21,4,3,20,32,2316,138,1289
1972,Bhandara,280,129,460,33,10,313,36,13,369,0,0,0,1,0,200,13,4,294,7,3,441,72,10,136,1,0,308,1,0,250,36,6,156,1,3,5500,0,0,0,5,54,7,6,672,13,2,1,1714,33,4,3,20,33,1847,135,890
1973,Bhandara,286,266,929,31,14,439,37,12,328,0,0,0,1,0,300,13,5,408,7,3,486,84,15,182,1,1,500,1,0,111,41,6,148,1,5,6857,0,0,0,5,50,10,7,2382,32,6,5,1364,18,4,3,21,33,2236,142,1224
1974,Bhandara,281,216,767,37,18,492,39,15,400,0,0,1000,1,0,222,13,5,424,7,3,389,80,26,327,1,1,714,1,0,200,44,8,186,1,8,7273,0,0,0,5,50,11,8,1731,21,4,3,2511,30,6,5,20,33,1092,155,1004
1975,Bhandara,283,449,1585,41,30,720,38,12,324,0,0,0,1,1,800,13,5,406,7,5,667,73,18,248,2,1,933,1,0,200,49,8,167,1,6,7500,0,0,0,5,71,16,12,1044,12,3,2,1495,17,4,3,20,32,1608,164,1844
1976,Bhandara,289,326,1127,37,20,525,34,10,287,0,0,0,1,1,1182,11,4,358,7,3,362,64,16,248,1,1,429,1,0,250,48,5,109,1,3,4000,0,0,0,5,55,11,8,2236,29,6,4,1224,16,3,2,21,33,1340,147,1095
1977,Bhandara,296,403,1364,38,25,648,35,14,403,0,0,0,1,1,1000,11,3,267,7,3,382,62,12,198,1,1,833,1,0,375,46,8,166,1,3,3571,0,0,0,5,57,11,8,2042,27,5,4,1166,16,3,2,21,33,1301,145,1416
1978,Bhandara,298,365,1226,38,16,419,35,11,326,0,0,0,1,1,1300,11,2,142,8,4,587,63,15,233,1,1,429,1,0,200,48,6,134,1,4,4875,0,0,0,5,59,10,7,1603,25,4,3,998,16,3,2,20,32,1344,151,1526
1979,Bhandara,286,260,908,29,15,526,33,14,434,0,0,0,1,1,1200,11,2,162,8,4,487,68,20,300,1,1,769,1,0,154,46,5,110,1,3,5000,0,0,0,5,58,11,9,1924,26,5,4,1210,16,3,3,21,33,1284,147,1119
1980,Bhandara,298,427,1432,31,21,670,33,15,468,0,0,0,1,1,1200,11,2,143,8,4,439,57,12,217,1,1,750,1,0,167,40,6,143,1,4,5143,0,0,0,5,57,11,9,1938,27,5,4,1078,15,3,2,21,33,1279,183,1220
1981,Bhandara,230,404,1757,30,19,624,31,18,566,0,0,0,1,1,1100,11,2,159,8,4,494,53,12,219,1,1,583,2,0,176,40,4,95,1,6,8571,0,0,0,5,62,15,12,2135,23,6,4,1299,14,3,3,21,32,1710,172,1425
1982,Bhandara,291,254,875,29,18,628,31,16,516,0,0,0,1,1,1000,11,2,140,8,3,400,52,15,288,1,1,583,1,0,167,40,5,129,1,5,6571,0,0,0,5,54,28,22,6571,33,17,14,2417,12,6,5,21,32,1182,164,1127
1983,Bhandara,304,469,1544,30,22,714,31,22,702,0,0,0,0,0,500,12,2,174,8,5,643,54,16,291,1,1,714,1,0,167,40,9,224,1,6,8143,0,0,0,6,65,24,19,4065,29,10,8,962,7,2,2,21,32,1561,149,1412
1984,Bhandara,290,197,679,23,11,491,29,10,357,0,0,0,1,1,1091,9,5,527,9,6,655,55,13,241,2,1,667,2,0,143,36,4,105,1,5,9800,0,0,0,6,66,18,14,2174,21,6,4,1377,13,4,3,20,33,1013,147,957
1985,Bhandara,304,413,1358,32,17,522,26,11,417,0,0,0,0,0,0,12,4,348,9,4,477,50,13,263,2,2,1000,2,1,318,41,5,122,0,0,0,0,0,0,6,66,26,21,3287,23,9,7,1540,11,4,3,21,33,1401,146,1061
1986,Bhandara,306,361,1180,31,16,516,24,9,393,0,0,0,0,0,0,12,5,417,9,4,444,47,13,282,2,1,500,2,1,273,36,5,131,0,0,0,0,0,0,6,62,32,26,5363,27,14,11,2287,11,6,5,21,33,1162,146,1607
1987,Bhandara,194,97,500,35,17,486,26,10,383,0,0,0,0,0,0,15,3,200,8,6,750,46,14,301,2,2,1000,2,1,238,30,7,235,0,0,0,0,0,0,3,68,28,21,2578,23,10,7,973,9,4,3,21,33,1091,106,968
1988,Bhandara,323,533,1649,31,21,677,19,5,270,0,0,0,0,0,0,16,8,532,8,4,506,44,24,542,2,2,1000,4,1,297,33,8,227,1,4,6833,0,0,0,7,67,35,27,4682,24,12,10,1887,10,5,4,21,33,1385,186,1319
1989,Bhandara,307,376,1224,25,14,559,15,5,333,0,0,0,0,0,0,13,6,437,8,6,723,53,25,471,1,1,1143,4,1,135,37,9,230,1,6,7000,0,0,0,7,63,29,24,5294,29,13,11,1632,9,4,3,20,33,1085,169,1064
1990,Bhandara,342,426,1244,24,11,458,12,5,377,0,0,0,0,0,750,13,6,436,9,5,575,34,14,408,1,1,1429,3,1,176,40,13,330,1,10,7769,0,0,0,7,62,45,34,7837,29,21,16,2609,10,7,5,20,32,1577,168,1434
1991,Bhandara,332,354,1068,19,12,616,8,2,226,0,0,0,0,0,0,9,3,379,9,4,433,7,2,264,1,1,1167,1,0,214,34,12,361,2,11,7240,0,0,0,7,66,40,33,5522,25,15,12,1843,8,5,4,21,33,1163,167,1134
1992,Bhandara,328,385,1172,16,11,681,6,2,286,0,0,0,0,0,0,10,4,404,9,7,730,27,7,271,1,1,1333,3,1,259,39,19,478,2,10,6407,0,0,0,8,73,46,38,4698,21,13,11,1464,6,4,3,21,33,1116,186,1165
1993,Bhandara,337,440,1307,22,23,1031,5,3,537,0,0,0,1,0,800,12,5,415,9,7,756,39,17,432,1,1,1500,2,1,261,47,22,461,1,7,6940,0,0,0,8,78,53,43,4240,17,11,9,1136,5,3,2,21,33,1560,181,1351
1994,Bhandara,324,385,1191,27,28,1052,4,2,571,0,0,0,0,0,667,13,6,448,8,4,488,41,17,399,1,1,1333,2,0,190,44,15,342,1,7,8178,0,0,0,9,68,67,54,9207,25,25,20,2598,7,7,6,20,32,2044,189,2151
1995,Bhandara,330,483,1462,24,19,778,4,1,314,0,0,0,0,0,1000,13,5,429,10,6,600,30,15,500,0,0,1333,2,0,235,36,15,429,1,7,6718,0,0,0,9,72,64,51,7043,22,19,15,2190,7,6,5,21,32,1566,159,1197
1996,Bhandara,283,383,1354,22,21,950,4,2,514,0,0,0,0,0,1000,11,5,472,9,7,731,33,18,552,0,0,1000,2,1,350,38,19,500,3,28,9158,0,0,0,16,67,75,61,9774,26,29,24,2569,7,8,6,21,33,1028,152,826
1997,Bhandara,287,360,1254,19,7,337,3,1,276,0,0,0,0,0,1500,10,2,214,9,2,264,53,19,366,0,1,1250,6,1,86,47,15,326,2,29,12138,0,0,0,9,75,89,56,8193,24,29,18,422,1,1,1,21,32,1135,195,1675
1998,Bhandara,325,387,1191,21,15,697,2,1,391,0,0,0,0,0,2000,9,4,468,10,8,752,33,14,411,0,0,1000,2,1,304,33,25,758,1,6,8471,0,0,0,11,77,73,54,6715,20,19,14,1021,3,3,2,21,33,1286,195,1311
1999,Bhandara,337,476,1415,22,17,757,2,1,427,0,0,0,0,0,1200,9,4,418,10,9,911,38,18,466,0,0,1000,2,1,333,32,21,664,2,18,8755,0,0,0,11,75,81,60,8466,22,24,18,1272,3,4,3,21,33,1293,235,1348
2000,Bhandara,326,307,941,15,10,685,2,0,267,0,0,0,0,0,1000,6,3,397,10,7,768,22,9,390,0,1,1667,2,1,300,24,11,468,2,16,7095,0,0,0,0,61,74,63,12575,29,35,30,4385,10,12,10,21,33,1146,194,2328
2001,Bhandara,328,442,1349,15,14,927,1,0,444,0,0,0,0,1,2500,6,3,516,10,10,1072,27,14,504,0,0,1000,2,1,333,21,11,520,2,8,4000,0,0,0,1,57,66,56,13558,32,37,31,4494,11,12,10,21,33,1292,201,1381
2002,Bhandara,345,371,1078,14,10,694,1,1,500,0,0,0,0,0,2000,7,3,409,11,10,884,20,8,407,0,0,667,2,0,158,21,12,561,2,9,4737,0,0,0,1,59,69,58,12732,30,35,29,4533,11,12,10,21,33,1107,214,1279
2003,Bhandara,350,539,1540,14,13,912,1,0,600,0,0,0,0,1,2000,7,4,543,12,11,949,32,12,390,0,0,1000,2,0,190,20,16,807,2,10,4990,0,0,0,1,58,71,59,13994,31,38,32,4487,10,12,10,21,33,1458,175,1409
2004,Bhandara,330,225,681,8,6,728,0,0,500,0,0,0,0,0,1000,4,1,262,12,7,615,17,4,248,0,0,1000,2,0,150,18,10,569,1,9,6100,0,0,0,8,62,69,59,11387,29,32,27,3854,10,11,9,21,33,1172,176,782
2005,Bhandara,362,578,1598,14,12,849,0,0,1000,0,0,0,0,0,2000,8,4,476,12,10,780,34,12,355,0,0,500,1,0,300,27,12,429,1,2,3486,0,0,0,9,62,81,62,13565,29,38,29,4725,10,13,10,21,33,1432,197,1798
2006,Bhandara,378,494,1307,16,14,872,0,0,1000,0,0,0,0,0,2000,13,7,584,13,7,569,28,14,519,0,0,1000,2,0,200,26,11,405,2,12,5805,0,0,0,0,59,93,78,17356,31,48,40,5652,10,16,13,21,33,1661,209,1347
2007,Bhandara,387,673,1738,18,19,1027,0,0,0,0,0,0,0,1,3000,15,10,630,14,12,850,35,18,505,0,0,1700,2,1,350,28,15,528,2,11,5068,0,0,0,0,61,102,84,15737,26,44,36,7549,13,21,17,21,33,1329,218,1009
2008,Bhandara,364,265,729,9,7,807,0,0,0,0,0,0,0,0,2000,9,4,483,14,8,585,20,8,435,0,0,1000,2,1,333,20,13,649,3,13,4576,0,0,0,0,73,79,67,9056,23,25,21,1351,3,4,3,21,33,1341,177,882
2009,Bhandara,362,382,1056,12,12,1000,0,0,0,0,0,0,0,0,2200,11,6,570,13,9,698,28,10,373,0,0,0,2,0,207,20,9,465,2,8,5247,0,0,0,0,60,80,62,17565,36,49,38,1830,4,5,4,22,34,1239,-20,928
2010,Bhandara,379,608,1605,14,14,1017,0,0,0,0,0,0,0,0,2300,13,8,647,14,13,945,35,14,411,0,0,800,2,1,369,21,16,761,2,8,5413,0,0,0,0,60,99,76,19581,33,54,41,4685,8,13,10,22,34,1775,-20,928
2011,Bhandara,366,634,1733,14,14,1038,0,0,0,0,0,0,0,0,700,13,8,640,16,13,870,28,12,415,0,0,400,2,0,281,21,8,360,3,26,7562,0,0,0,6,63,97,82,18135,33,50,42,2493,4,7,6,21,33,1306,-20,928
2012,Bhandara,371,735,1983,14,17,1207,0,0,0,0,0,0,0,0,1467,13,7,527,15,16,1066,35,12,331,0,0,900,2,1,465,21,10,457,3,21,6706,0,0,0,7,61,93,68,17253,31,48,35,4202,8,12,9,21,33,1598,-20,1393
2013,Bhandara,396,650,1640,14,15,1081,0,0,0,0,0,0,0,0,3000,17,9,506,17,11,630,35,15,429,0,0,1000,2,0,211,19,5,268,1,6,6400,0,0,0,0,66,109,79,16996,29,47,34,3164,5,9,6,20,33,1906,-20,1765
2014,Bhandara,384,700,1823,14,15,1116,0,0,0,0,0,0,1,0,500,22,12,535,18,6,343,30,7,218,0,0,0,0,0,0,21,6,298,8,59,7168,0,0,0,0,63,106,77,18606,31,52,38,3282,5,9,7,21,33,1273,-20,1012
2015,Bhandara,370,574,1549,13,13,1023,0,0,0,0,0,0,2,2,864,11,5,427,18,8,450,32,14,451,0,0,0,2,0,167,18,4,225,5,35,6522,0,0,0,0,66,128,93,21284,31,59,43,2204,3,6,4,22,33,1486,-20,1169
2016,Bhandara,392,889,2269,13,16,1233,0,0,0,0,0,0,1,1,1585,16,10,621,18,36,1944,32,18,550,0,0,500,2,1,273,0,0,0,5,31,6430,0,0,0,0,66,153,109,24803,30,69,49,3652,4,10,7,22,33,1486,-20,1169
1966,Buldhana,2,1,500,31,15,484,259,121,467,5,1,200,1,2,1154,7,2,286,26,22,846,196,8,42,18,4,222,2,0,200,104,5,45,1,6,4692,246,17,69,2,87,5,5,474,13,1,1,0,0,0,0,20,33,629,11,715
1967,Buldhana,3,1,333,31,13,419,261,172,659,7,3,429,1,2,2125,4,1,250,29,12,414,236,17,71,18,6,333,2,0,267,91,7,76,1,7,4643,253,20,79,2,67,9,9,3068,33,5,4,0,0,0,0,20,33,812,15,653
1968,Buldhana,3,2,769,33,16,486,272,229,842,9,1,109,1,1,833,4,1,238,25,13,512,72,13,184,17,10,606,2,0,188,37,11,288,2,12,7438,245,22,90,2,50,3,3,1180,26,2,2,1091,24,2,2,20,33,731,21,712
1969,Buldhana,3,3,1000,32,13,409,260,202,780,10,3,327,1,0,500,4,1,225,26,14,560,74,15,204,19,9,495,2,1,238,41,10,252,2,15,7400,260,24,91,3,58,5,4,1180,21,2,2,1191,21,2,2,21,33,777,16,783
1970,Buldhana,3,3,1063,29,14,471,265,113,425,10,2,221,1,0,333,4,1,333,25,14,556,77,11,143,25,13,530,3,0,100,57,14,249,1,7,6455,257,8,30,3,54,6,6,1786,24,3,2,1617,22,2,2,20,33,732,13,923
1971,Buldhana,3,2,920,40,16,410,260,137,527,8,1,75,1,0,167,4,1,273,24,13,544,71,9,123,22,13,566,2,0,95,65,13,201,2,11,6167,258,17,66,3,52,6,6,2430,28,3,3,1813,21,3,2,20,32,363,21,512
1972,Buldhana,3,1,414,31,12,394,267,106,398,12,2,183,1,0,333,5,1,178,24,8,345,77,8,106,30,9,306,2,0,87,66,15,228,1,8,5571,250,17,68,3,56,5,5,955,15,1,1,1933,29,3,3,20,33,247,21,518
1973,Buldhana,3,3,862,34,20,580,297,145,489,13,4,271,1,0,600,6,2,345,24,17,713,83,15,176,26,14,537,3,0,160,68,27,404,2,11,6875,229,15,66,3,56,7,6,2532,30,4,3,1132,14,2,2,21,33,692,26,784
1974,Buldhana,3,1,464,37,30,825,265,208,783,14,6,437,1,1,833,7,3,375,27,22,812,89,21,239,28,19,665,2,1,208,83,32,392,2,12,7294,223,23,102,3,55,9,9,2353,20,3,3,2877,25,4,4,20,33,673,28,629
1975,Buldhana,3,3,848,46,47,1029,289,236,818,14,4,300,1,1,1600,9,4,435,26,25,962,90,26,286,30,27,913,3,1,194,79,48,601,2,13,7471,205,14,67,3,64,9,8,1609,17,2,2,1854,19,3,2,20,32,925,31,885
1976,Buldhana,3,2,889,45,27,614,303,279,920,13,4,318,1,1,1400,7,2,236,26,16,597,96,27,283,34,9,252,2,0,130,84,26,314,2,10,6118,189,11,60,3,70,9,8,1544,18,2,2,1122,13,2,2,20,33,709,30,643
1977,Buldhana,3,4,1345,46,41,900,311,275,886,14,5,367,1,1,2000,7,2,288,28,22,762,94,26,280,27,12,427,4,1,163,78,26,332,2,12,6444,196,20,104,3,61,9,8,2103,21,3,3,1763,18,3,2,21,33,764,30,885
1978,Buldhana,3,4,1367,49,38,765,264,323,1223,11,5,458,0,1,1750,13,3,252,34,28,819,83,21,250,28,8,279,3,1,280,80,20,245,2,11,6529,214,16,76,4,54,13,11,3769,23,6,5,3665,23,5,5,21,32,823,42,867
1979,Buldhana,4,4,857,52,49,946,267,352,1319,10,4,454,1,2,2300,14,4,285,36,30,829,80,34,427,25,13,534,3,1,219,82,32,388,1,9,7083,230,20,86,5,53,13,12,4411,25,6,6,3868,22,6,5,21,33,860,35,962
1980,Buldhana,4,4,1100,45,38,828,263,315,1198,10,4,427,1,2,2400,13,3,254,38,28,739,83,9,104,25,12,482,3,1,200,83,29,348,1,10,7286,237,15,62,5,58,14,12,4153,26,6,5,2710,17,4,4,21,33,720,43,767
1981,Buldhana,4,6,1400,45,43,960,259,377,1455,10,5,510,1,2,2100,14,4,281,41,33,803,85,18,212,23,10,412,3,1,179,81,33,400,1,9,8600,241,17,71,5,60,25,21,6645,23,10,8,4663,16,7,6,21,32,883,45,842
1982,Buldhana,3,2,656,28,18,655,245,305,1247,10,4,396,1,2,2200,13,3,250,44,23,525,83,21,250,25,9,354,3,1,226,52,16,307,1,9,6615,235,19,79,4,52,21,19,6176,24,10,8,6560,25,10,9,21,32,587,64,487
1983,Buldhana,3,3,867,47,45,964,239,365,1527,9,5,580,1,2,2400,15,5,313,46,24,531,73,15,199,28,13,473,3,1,226,67,29,439,1,8,7636,239,17,70,4,64,25,23,5265,20,8,7,4487,17,6,6,21,32,945,51,975
1984,Buldhana,3,1,519,21,18,825,203,171,843,8,2,308,2,3,1778,12,5,454,49,31,627,99,16,163,18,7,398,8,1,154,70,27,386,1,11,10182,284,14,49,4,70,23,21,4421,19,6,6,2582,11,4,3,20,32,539,33,463
1985,Buldhana,3,1,370,12,8,631,217,249,1150,9,3,337,2,3,1667,11,5,411,44,35,799,95,50,526,17,6,333,8,2,280,82,28,344,1,5,5200,266,29,109,4,62,29,25,6286,21,10,9,4990,17,8,7,21,33,712,30,535
1986,Buldhana,3,1,333,8,5,625,212,222,1048,11,4,364,2,1,500,14,3,214,46,23,500,83,26,314,16,6,375,9,3,352,93,26,284,1,6,7500,260,9,35,4,64,29,25,7374,25,11,10,3333,11,5,4,21,33,757,20,567
