Dist Name,Feature,MSE,MAE,RMSE,MAPE,R-squared
Ahmednagar,RICE AREA (1000 ha),2.4709403687176508,1.0576937389215462,1.571922507224084,13.366643809988926,0.33354720878259514
Ahmednagar,RICE PRODUCTION (1000 tons),20.671243433790533,3.2026200815368124,4.546563915067129,61.56489015612912,0.15420444215259688
Ahmednagar,RICE YIELD (Kg per ha),182648.2757500387,326.55731139817965,427.3736956693038,48.978327722697955,0.17126974933630812
Ahmednagar,WHEAT AREA (1000 ha),433.03999999999985,13.559999999999992,20.8096131631513,20.13536838292627,0.4819721424849356
Ahmednagar,WHEAT PRODUCTION (1000 tons),1870.3600000000004,29.720000000000027,43.247658896176105,33.400611755292424,0.4994931135480243
Ahmednagar,WHEAT YIELD (Kg per ha),58855.66681227907,182.76535837221573,242.60186893814128,14.990297399698962,0.6370024699398211
Ahmednagar,SORGHUM AREA (1000 ha),2421.652711047598,37.4832544273363,49.2102907027341,7.036149283631442,0.24010504024832802
Ahmednagar,SORGHUM PRODUCTION (1000 tons),6174.800365555319,66.21573333317774,78.57989797368866,44.81761892987527,0.09797540197190868
Ahmednagar,SORGHUM YIELD (Kg per ha),18849.639222798665,115.50846384732205,137.29398829809944,40.96048423033523,0.13354011968983392
Ahmednagar,PEARL MILLET AREA (1000 ha),3021.9139082292836,40.538770970289086,54.97193746111996,18.68876719339863,0.45953077417334764
Ahmednagar,PEARL MILLET PRODUCTION (1000 tons),3843.852811841205,50.15913535487146,61.9988129873565,63.842010061406725,0.12160496417290623
Ahmednagar,PEARL MILLET YIELD (Kg per ha),41363.00409091012,170.6315498327522,203.37896668758577,42.80406202204335,0.3319967117292256
Ahmednagar,MAIZE AREA (1000 ha),78.1764016258279,4.780001772264592,8.841742001767972,88.58827872777871,0.8587082220746522
Ahmednagar,MAIZE PRODUCTION (1000 tons),1116.7563299430442,17.533242267616345,33.41790433200509,204.49293586281178,0.7958556771262836
Ahmednagar,MAIZE YIELD (Kg per ha),314689.9903434303,427.3053690110064,560.9723614790931,26.319754430328583,0.46985238203391455
Ahmednagar,CHICKPEA AREA (1000 ha),223.71156855567548,9.519929891660007,14.956990624977855,24.853090441895592,0.8174570507254867
Ahmednagar,CHICKPEA PRODUCTION (1000 tons),221.6585639899061,9.423469168039254,14.8882021745376,50.29434417715743,0.7148280543419001
Ahmednagar,CHICKPEA YIELD (Kg per ha),14260.831984152559,98.48218232250215,119.4187254334619,20.514801256833888,0.38836319567364874
Ahmednagar,PIGEONPEA AREA (1000 ha),19.181086020868914,3.440309496337164,4.379621675541041,34.36872215213826,0.3592978054062812
Ahmednagar,PIGEONPEA PRODUCTION (1000 tons),17.126955833888605,3.1450644411265336,4.138472645057425,88.8752712046901,0.2082729686078011
Ahmednagar,PIGEONPEA YIELD (Kg per ha),24512.289591191322,123.87477235435654,156.56401116218032,35.79678143182134,0.15144965832435364
Ahmednagar,MINOR PULSES AREA (1000 ha),705.26,14.26,26.556731726626303,42.667457016282775,0.2587957443445419
Ahmednagar,MINOR PULSES PRODUCTION (1000 tons),53.96089965397925,5.9,7.345808305011726,123.49827131184443,-9.259641871706137e-06
Ahmednagar,MINOR PULSES YIELD (Kg per ha),15405.84216692528,91.12763967788436,124.12027298924733,47.279147580089194,0.6094246556083153
Ahmednagar,GROUNDNUT AREA (1000 ha),57.64,4.92,7.592101158440923,33.78369570454373,0.13507478812033324
Ahmednagar,GROUNDNUT PRODUCTION (1000 tons),158.23073775174956,8.604900744098462,12.578979996476248,73.95914066500332,0.3609420930866334
Ahmednagar,GROUNDNUT YIELD (Kg per ha),81723.17221521417,224.02698523935538,285.8726503448943,23.31997318900252,0.49528333649647527
Ahmednagar,SESAMUM AREA (1000 ha),13.810034602076119,1.5776470588235298,3.716185490805877,2752999.035947713,-2.5055811818663898e-06
Ahmednagar,SESAMUM PRODUCTION (1000 tons),1.6800615148019995,0.6729411764705883,1.296171869314405,3403939.9041394326,-3.661595357118408e-05
Ahmednagar,SESAMUM YIELD (Kg per ha),16982.123984869075,80.92755454353284,130.3154786848787,87120292.37320721,0.08081214255782543
Ahmednagar,OILSEEDS AREA (1000 ha),517.4134936870314,14.606364277310627,22.746724900236327,11372719.326535173,0.3922038090617871
Ahmednagar,OILSEEDS PRODUCTION (1000 tons),826.1249651444427,21.05933364548487,28.74238969091545,9371467.74075373,0.31192124743596783
Ahmednagar,OILSEEDS YIELD (Kg per ha),72363.14695718505,188.91013249256332,269.0039905971379,140720220.86572945,0.36530863382073664
Ahmednagar,SUGARCANE AREA (1000 ha),231.06169714897368,10.776303191416828,15.200713705249951,18.756396659961723,0.6856407798857103
Ahmednagar,SUGARCANE PRODUCTION (1000 tons),22557.30342985042,106.2803236327324,150.19088996956646,26.285916036714397,0.5976549399005766
Ahmednagar,SUGARCANE YIELD (Kg per ha),776144.8877400666,691.3680291758735,880.9908556506513,9.0621739921853,0.5194634877667468
Ahmednagar,COTTON PRODUCTION (1000 tons),34.054702762974465,2.6971201323167064,5.835640732856544,668241.7511308284,0.6673578797166685
Ahmednagar,COTTON YIELD (Kg per ha),6018.20004986264,63.98842276812727,77.57705878584622,35.07138279944632,0.135465937360708
Ahmednagar,FRUITS AND VEGETABLES AREA (1000 ha),151.3065189313062,7.082182096385493,12.300671482943773,25005970.37153801,0.3739810815084288
Ahmednagar,NITROGEN SHARE IN NPK (Percent),21.359368456830513,3.739482324504402,4.621619678947037,6.378297605379831,0.5144229633617083
