Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AND VEGETABLES AREA (1000 ha),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Irrigated Area,Annual Rainfall
1977,Amarawati,13.0,11.0,874.0,42.0,39.0,938.0,310.0,275.0,889.0,7.0,2.0,333.0,1.0,1.0,1667.0,12.0,4.0,300.0,40.0,23.0,580.0,27.0,5.0,181.0,35.0,36.0,1029.0,7.0,2.0,310.0,52.0,41.0,783.0,0.0,2.0,8500.0,338.0,31.0,91.0,12.0,65.0,10.0,10.0,2039.0,19.0,3.0,3.0,1769.0,16.0,2.0,2.0,21.0,33.0,1011.0,36.0,1043.0
1978,Amarawati,14.0,12.0,904.0,42.0,38.0,900.0,199.0,245.0,1231.0,7.0,3.0,429.0,1.0,1.0,1714.0,12.0,3.0,282.0,46.0,29.0,634.0,26.0,5.0,174.0,39.0,18.0,461.0,7.0,2.0,299.0,55.0,22.0,402.0,0.0,2.0,8000.0,336.0,24.0,72.0,12.0,57.0,11.0,10.0,2919.0,21.0,4.0,4.0,3041.0,22.0,4.0,4.0,20.0,32.0,1094.0,38.0,1095.0
1979,Amarawati,11.0,9.0,746.0,53.0,49.0,930.0,205.0,236.0,1150.0,8.0,3.0,400.0,1.0,1.0,1625.0,12.0,4.0,320.0,46.0,34.0,736.0,25.0,6.0,229.0,35.0,31.0,885.0,9.0,2.0,244.0,51.0,35.0,694.0,0.0,2.0,9000.0,362.0,29.0,81.0,14.0,55.0,14.0,13.0,4216.0,24.0,6.0,5.0,3705.0,21.0,5.0,5.0,21.0,33.0,1046.0,41.0,1124.0
1980,Amarawati,13.0,11.0,802.0,51.0,40.0,782.0,201.0,222.0,1103.0,5.0,3.0,609.0,1.0,1.0,1500.0,12.0,3.0,284.0,48.0,38.0,781.0,12.0,4.0,347.0,34.0,27.0,793.0,8.0,2.0,200.0,45.0,19.0,425.0,0.0,2.0,11000.0,374.0,22.0,59.0,16.0,62.0,14.0,14.0,4001.0,24.0,6.0,5.0,2385.0,14.0,3.0,3.0,21.0,33.0,858.0,44.0,845.0
1981,Amarawati,13.0,15.0,1150.0,53.0,39.0,736.0,272.0,260.0,957.0,8.0,3.0,372.0,1.0,2.0,1667.0,13.0,4.0,312.0,49.0,31.0,622.0,24.0,1.0,30.0,33.0,22.0,680.0,8.0,1.0,187.0,35.0,17.0,487.0,0.0,3.0,8667.0,379.0,25.0,67.0,17.0,60.0,16.0,15.0,4374.0,23.0,6.0,6.0,3082.0,17.0,4.0,4.0,20.0,32.0,1201.0,47.0,1032.0
1982,Amarawati,13.0,7.0,519.0,46.0,31.0,688.0,194.0,261.0,1346.0,6.0,2.0,371.0,1.0,1.0,1750.0,12.0,3.0,280.0,54.0,38.0,706.0,21.0,1.0,33.0,35.0,20.0,583.0,8.0,2.0,244.0,34.0,22.0,640.0,0.0,3.0,6750.0,371.0,28.0,75.0,18.0,59.0,15.0,15.0,4608.0,25.0,6.0,6.0,3019.0,16.0,4.0,4.0,21.0,32.0,846.0,44.0,756.0
1983,Amarawati,12.0,9.0,748.0,53.0,53.0,1006.0,189.0,234.0,1234.0,5.0,2.0,407.0,1.0,1.0,1857.0,13.0,5.0,351.0,57.0,47.0,822.0,15.0,3.0,193.0,39.0,31.0,780.0,8.0,2.0,244.0,36.0,23.0,647.0,0.0,3.0,6750.0,376.0,14.0,38.0,20.0,68.0,16.0,16.0,4336.0,25.0,6.0,6.0,1287.0,7.0,2.0,2.0,20.0,32.0,1108.0,47.0,1023.0
1984,Amarawati,12.0,5.0,435.0,48.0,44.0,933.0,183.0,211.0,1155.0,4.0,1.0,333.0,1.0,1.0,1571.0,15.0,6.0,427.0,62.0,43.0,685.0,16.0,1.0,31.0,25.0,14.0,550.0,8.0,2.0,203.0,34.0,14.0,419.0,1.0,5.0,10200.0,371.0,28.0,76.0,23.0,62.0,17.0,16.0,4681.0,24.0,6.0,6.0,2712.0,14.0,4.0,4.0,20.0,32.0,790.0,49.0,940.0
1985,Amarawati,13.0,8.0,646.0,40.0,28.0,688.0,180.0,225.0,1249.0,4.0,1.0,270.0,1.0,1.0,1714.0,19.0,6.0,296.0,64.0,63.0,994.0,36.0,19.0,515.0,25.0,15.0,588.0,9.0,2.0,271.0,41.0,18.0,429.0,0.0,2.0,5250.0,379.0,36.0,95.0,24.0,58.0,19.0,18.0,5840.0,26.0,9.0,8.0,3765.0,17.0,6.0,5.0,20.0,33.0,962.0,50.0,741.0
1986,Amarawati,13.0,7.0,538.0,34.0,27.0,794.0,186.0,146.0,783.0,4.0,1.0,250.0,1.0,0.0,429.0,21.0,6.0,286.0,65.0,54.0,831.0,24.0,5.0,193.0,25.0,13.0,520.0,9.0,4.0,418.0,45.0,18.0,410.0,1.0,5.0,7143.0,370.0,15.0,41.0,23.0,61.0,20.0,19.0,6211.0,26.0,9.0,8.0,3089.0,13.0,4.0,4.0,21.0,33.0,966.0,47.0,848.0
1987,Amarawati,13.0,8.0,615.0,32.0,25.0,781.0,195.0,249.0,1281.0,4.0,2.0,500.0,1.0,0.0,429.0,21.0,6.0,286.0,67.0,62.0,925.0,67.0,14.0,212.0,27.0,17.0,630.0,11.0,3.0,312.0,59.0,27.0,466.0,1.0,9.0,7333.0,348.0,27.0,78.0,25.0,60.0,21.0,19.0,8378.0,31.0,11.0,10.0,2522.0,9.0,3.0,3.0,21.0,33.0,838.0,52.0,589.0
1988,Amarawati,14.0,6.0,397.0,34.0,44.0,1301.0,222.0,206.0,930.0,5.0,2.0,319.0,1.0,0.0,429.0,30.0,22.0,737.0,74.0,87.0,1167.0,67.0,33.0,486.0,37.0,32.0,858.0,10.0,2.0,153.0,68.0,42.0,615.0,1.0,6.0,6778.0,361.0,30.0,84.0,30.0,56.0,18.0,15.0,8017.0,34.0,11.0,9.0,2394.0,10.0,3.0,3.0,21.0,33.0,1339.0,62.0,1332.0
1989,Amarawati,14.0,8.0,532.0,30.0,33.0,1090.0,186.0,346.0,1862.0,5.0,2.0,413.0,0.0,0.0,750.0,27.0,14.0,505.0,79.0,69.0,882.0,66.0,14.0,205.0,34.0,25.0,740.0,9.0,1.0,130.0,66.0,47.0,710.0,1.0,7.0,7889.0,363.0,48.0,131.0,33.0,54.0,27.0,24.0,13657.0,35.0,18.0,16.0,4215.0,11.0,6.0,5.0,20.0,33.0,765.0,58.0,752.0
1990,Amarawati,14.0,6.0,399.0,31.0,37.0,1185.0,179.0,254.0,1415.0,4.0,2.0,514.0,1.0,0.0,667.0,30.0,17.0,583.0,83.0,51.0,613.0,78.0,36.0,463.0,29.0,20.0,678.0,9.0,2.0,222.0,73.0,53.0,721.0,2.0,14.0,8376.0,373.0,43.0,116.0,33.0,54.0,35.0,29.0,15627.0,32.0,21.0,17.0,6316.0,13.0,8.0,7.0,20.0,32.0,1167.0,63.0,1200.0
1991,Amarawati,14.0,6.0,439.0,11.0,13.0,1153.0,183.0,161.0,884.0,4.0,1.0,195.0,1.0,1.0,714.0,14.0,8.0,543.0,84.0,40.0,477.0,76.0,15.0,203.0,29.0,8.0,263.0,8.0,2.0,213.0,81.0,32.0,391.0,1.0,10.0,6793.0,361.0,29.0,81.0,32.0,53.0,29.0,24.0,13216.0,34.0,18.0,15.0,5027.0,13.0,7.0,6.0,20.0,33.0,658.0,49.0,667.0
1992,Amarawati,13.0,8.0,591.0,17.0,22.0,1304.0,199.0,291.0,1463.0,4.0,2.0,622.0,1.0,2.0,2125.0,37.0,22.0,598.0,83.0,72.0,862.0,41.0,24.0,574.0,24.0,19.0,803.0,8.0,2.0,235.0,87.0,59.0,678.0,2.0,8.0,5281.0,334.0,43.0,129.0,36.0,64.0,34.0,28.0,12070.0,31.0,16.0,14.0,2109.0,5.0,3.0,2.0,21.0,33.0,842.0,57.0,828.0
1993,Amarawati,11.0,10.0,865.0,12.0,18.0,1443.0,173.0,235.0,1363.0,3.0,2.0,880.0,1.0,1.0,1625.0,39.0,47.0,1215.0,89.0,97.0,1084.0,60.0,35.0,587.0,23.0,22.0,964.0,9.0,2.0,279.0,106.0,101.0,950.0,1.0,4.0,7100.0,323.0,64.0,198.0,36.0,69.0,33.0,26.0,7884.0,22.0,11.0,8.0,3060.0,9.0,4.0,3.0,21.0,33.0,1056.0,54.0,841.0
1994,Amarawati,8.0,8.0,963.0,16.0,23.0,1449.0,136.0,209.0,1536.0,2.0,1.0,706.0,1.0,2.0,1500.0,50.0,35.0,685.0,90.0,64.0,710.0,70.0,34.0,488.0,21.0,18.0,854.0,8.0,1.0,160.0,114.0,92.0,810.0,2.0,17.0,7673.0,341.0,42.0,122.0,40.0,59.0,39.0,30.0,14460.0,29.0,19.0,15.0,5738.0,12.0,8.0,6.0,20.0,32.0,1370.0,64.0,1028.0
1995,Amarawati,10.0,6.0,616.0,15.0,21.0,1390.0,118.0,203.0,1723.0,2.0,1.0,750.0,1.0,1.0,1000.0,44.0,25.0,575.0,91.0,88.0,966.0,61.0,22.0,364.0,19.0,22.0,1166.0,4.0,1.0,262.0,131.0,117.0,895.0,3.0,25.0,8552.0,372.0,59.0,159.0,49.0,61.0,45.0,34.0,15308.0,28.0,20.0,15.0,5924.0,11.0,8.0,6.0,20.0,33.0,1122.0,79.0,842.0
1996,Amarawati,10.0,8.0,798.0,16.0,24.0,1574.0,122.0,227.0,1857.0,2.0,1.0,750.0,1.0,1.0,1143.0,42.0,33.0,779.0,84.0,76.0,908.0,61.0,33.0,535.0,16.0,17.0,1037.0,3.0,1.0,360.0,135.0,132.0,979.0,3.0,21.0,7650.0,370.0,59.0,158.0,47.0,63.0,49.0,36.0,15110.0,26.0,20.0,15.0,6549.0,11.0,9.0,6.0,21.0,33.0,969.0,78.0,825.0
1997,Amarawati,9.0,6.0,611.0,17.0,13.0,788.0,124.0,181.0,1457.0,2.0,1.0,400.0,1.0,1.0,1429.0,45.0,19.0,418.0,79.0,58.0,735.0,64.0,24.0,373.0,13.0,12.0,893.0,2.0,1.0,286.0,153.0,135.0,888.0,2.0,24.0,9979.0,348.0,20.0,58.0,46.0,63.0,41.0,34.0,14633.0,30.0,20.0,16.0,3504.0,7.0,5.0,4.0,20.0,32.0,809.0,82.0,1122.0
1998,Amarawati,9.0,6.0,701.0,19.0,25.0,1286.0,116.0,174.0,1500.0,2.0,1.0,526.0,1.0,2.0,1700.0,52.0,41.0,788.0,87.0,86.0,993.0,70.0,36.0,522.0,9.0,10.0,1077.0,4.0,1.0,273.0,197.0,245.0,1244.0,2.0,17.0,8495.0,321.0,24.0,76.0,50.0,64.0,39.0,30.0,11560.0,26.0,16.0,12.0,4258.0,10.0,6.0,4.0,21.0,33.0,986.0,83.0,956.0
1999,Amarawati,9.0,6.0,636.0,22.0,35.0,1613.0,117.0,131.0,1115.0,1.0,1.0,500.0,1.0,1.0,1250.0,57.0,43.0,760.0,92.0,97.0,1049.0,71.0,38.0,530.0,8.0,7.0,810.0,4.0,1.0,116.0,215.0,159.0,741.0,2.0,22.0,9836.0,327.0,42.0,130.0,66.0,61.0,42.0,33.0,14131.0,27.0,19.0,15.0,6303.0,12.0,8.0,7.0,20.0,33.0,1005.0,93.0,911.0
2000,Amarawati,9.0,4.0,494.0,13.0,17.0,1269.0,119.0,170.0,1433.0,1.0,1.0,556.0,1.0,1.0,1000.0,37.0,20.0,536.0,100.0,67.0,676.0,95.0,36.0,382.0,7.0,5.0,712.0,4.0,1.0,238.0,205.0,135.0,661.0,4.0,29.0,8197.0,309.0,25.0,82.0,61.0,57.0,33.0,24.0,14729.0,33.0,20.0,14.0,4414.0,10.0,6.0,4.0,20.0,33.0,716.0,90.0,931.0
2001,Amarawati,10.0,10.0,942.0,11.0,15.0,1327.0,109.0,153.0,1401.0,1.0,0.0,400.0,1.0,3.0,2364.0,34.0,29.0,869.0,96.0,84.0,874.0,85.0,29.0,344.0,4.0,4.0,1000.0,3.0,1.0,200.0,166.0,150.0,904.0,3.0,20.0,6803.0,325.0,39.0,119.0,61.0,59.0,31.0,22.0,13199.0,34.0,18.0,13.0,2940.0,8.0,4.0,3.0,21.0,33.0,672.0,84.0,713.0
2002,Amarawati,11.0,7.0,655.0,11.0,12.0,1036.0,103.0,144.0,1399.0,1.0,1.0,625.0,1.0,2.0,1900.0,36.0,27.0,755.0,93.0,89.0,953.0,87.0,28.0,326.0,3.0,2.0,600.0,2.0,1.0,208.0,167.0,154.0,923.0,2.0,12.0,5391.0,279.0,41.0,148.0,58.0,55.0,29.0,21.0,13718.0,34.0,18.0,13.0,4510.0,11.0,6.0,4.0,21.0,33.0,802.0,84.0,657.0
2003,Amarawati,10.0,6.0,588.0,12.0,14.0,1241.0,100.0,143.0,1428.0,1.0,0.0,500.0,1.0,3.0,2167.0,37.0,29.0,769.0,98.0,86.0,885.0,80.0,34.0,422.0,2.0,2.0,850.0,2.0,0.0,133.0,165.0,221.0,1335.0,3.0,16.0,6212.0,267.0,46.0,174.0,59.0,52.0,30.0,21.0,17625.0,42.0,24.0,17.0,2564.0,6.0,3.0,2.0,21.0,33.0,811.0,7.0,752.0
2004,Amarawati,10.0,4.0,438.0,10.0,12.0,1165.0,93.0,89.0,956.0,1.0,0.0,571.0,2.0,2.0,1269.0,37.0,21.0,562.0,91.0,70.0,770.0,69.0,16.0,237.0,2.0,2.0,1050.0,1.0,0.0,200.0,177.0,85.0,482.0,0.0,0.0,0.0,268.0,39.0,144.0,61.0,54.0,26.0,18.0,13816.0,38.0,18.0,13.0,3007.0,8.0,4.0,3.0,21.0,33.0,813.0,11.0,653.0
2005,Amarawati,10.0,5.0,490.0,17.0,23.0,1371.0,94.0,124.0,1316.0,0.0,0.0,333.0,2.0,3.0,1626.0,52.0,50.0,973.0,93.0,79.0,851.0,67.0,14.0,207.0,2.0,3.0,1304.0,2.0,0.0,211.0,198.0,215.0,1088.0,1.0,7.0,6591.0,256.0,38.0,148.0,57.0,52.0,26.0,25.0,13026.0,34.0,17.0,17.0,5673.0,15.0,8.0,7.0,20.0,33.0,1034.0,18.0,885.0
2006,Amarawati,9.0,5.0,541.0,25.0,43.0,1673.0,95.0,112.0,1177.0,0.0,0.0,500.0,2.0,3.0,1576.0,73.0,57.0,774.0,95.0,76.0,791.0,74.0,21.0,281.0,2.0,3.0,1478.0,0.0,0.0,500.0,229.0,334.0,1455.0,1.0,4.0,5671.0,242.0,37.0,151.0,0.0,51.0,30.0,21.0,15212.0,34.0,20.0,14.0,6347.0,14.0,8.0,6.0,20.0,33.0,1321.0,28.0,1007.0
2007,Amarawati,6.0,5.0,822.0,54.0,102.0,1890.0,78.0,106.0,1359.0,0.0,0.0,550.0,2.0,6.0,3078.0,104.0,110.0,1057.0,85.0,91.0,1071.0,83.0,30.0,365.0,2.0,2.0,1036.0,0.0,0.0,500.0,305.0,499.0,1636.0,1.0,10.0,7992.0,175.0,60.0,342.0,0.0,56.0,40.0,27.0,16548.0,31.0,22.0,15.0,7301.0,14.0,10.0,7.0,21.0,33.0,957.0,48.0,1098.0
2008,Amarawati,5.0,2.0,400.0,45.0,63.0,1388.0,40.0,37.0,911.0,0.0,0.0,667.0,2.0,5.0,2900.0,79.0,58.0,728.0,94.0,79.0,840.0,52.0,7.0,137.0,2.0,1.0,556.0,0.0,0.0,1000.0,395.0,137.0,346.0,1.0,4.0,5488.0,116.0,31.0,271.0,0.0,44.0,43.0,29.0,28361.0,39.0,38.0,26.0,12630.0,17.0,17.0,11.0,21.0,33.0,889.0,47.0,601.0
2009,Amarawati,4.0,6.0,1449.0,49.0,97.0,1973.0,49.0,53.0,1073.0,0.0,0.0,800.0,1.0,3.0,2221.0,90.0,107.0,1186.0,102.0,100.0,984.0,41.0,15.0,359.0,2.0,2.0,1135.0,0.0,0.0,200.0,335.0,269.0,802.0,0.0,1.0,7000.0,179.0,53.0,293.0,0.0,48.0,51.0,39.0,28853.0,36.0,38.0,29.0,12798.0,16.0,17.0,13.0,22.0,34.0,913.0,-20.0,614.0
2010,Amarawati,4.0,3.0,726.0,55.0,105.0,1926.0,50.0,53.0,1066.0,0.0,0.0,667.0,2.0,4.0,2481.0,99.0,100.0,1005.0,120.0,63.0,526.0,64.0,35.0,554.0,2.0,2.0,1127.0,1.0,0.0,383.0,293.0,458.0,1562.0,0.0,2.0,6900.0,204.0,57.0,280.0,0.0,47.0,50.0,43.0,31649.0,40.0,42.0,36.0,10397.0,13.0,14.0,12.0,21.0,34.0,1219.0,-20.0,614.0
2011,Amarawati,4.0,3.0,756.0,33.0,59.0,1811.0,40.0,59.0,1458.0,0.0,0.0,667.0,1.0,3.0,2783.0,69.0,67.0,975.0,128.0,109.0,854.0,57.0,32.0,565.0,2.0,2.0,1216.0,1.0,0.0,289.0,304.0,377.0,1243.0,0.0,3.0,7175.0,187.0,46.0,245.0,68.0,47.0,53.0,52.0,32650.0,39.0,43.0,43.0,12101.0,14.0,16.0,16.0,21.0,33.0,959.0,-20.0,614.0
2012,Amarawati,4.0,2.0,408.0,36.0,72.0,1981.0,38.0,49.0,1299.0,0.0,0.0,633.0,3.0,5.0,1708.0,80.0,100.0,1249.0,124.0,133.0,1075.0,58.0,14.0,250.0,3.0,4.0,1550.0,1.0,0.0,213.0,314.0,477.0,1517.0,0.0,2.0,5567.0,191.0,104.0,543.0,73.0,53.0,51.0,39.0,25241.0,35.0,34.0,26.0,8855.0,12.0,12.0,9.0,21.0,33.0,1055.0,-20.0,1037.0
2013,Amarawati,5.0,1.0,170.0,42.0,65.0,1548.0,35.0,23.0,645.0,0.0,0.0,0.0,1.0,3.0,2538.0,90.0,103.0,1149.0,96.0,134.0,1392.0,67.0,15.0,216.0,4.0,6.0,1579.0,0.0,0.0,0.0,370.0,359.0,971.0,0.0,2.0,7233.0,187.0,114.0,611.0,0.0,52.0,51.0,39.0,24615.0,34.0,33.0,25.0,10093.0,14.0,13.0,10.0,20.0,32.0,1370.0,-20.0,1114.0
2014,Amarawati,5.0,2.0,302.0,66.0,87.0,1313.0,27.0,28.0,1022.0,0.0,0.0,0.0,3.0,2.0,692.0,127.0,100.0,794.0,104.0,37.0,355.0,30.0,5.0,153.0,6.0,8.0,1328.0,0.0,0.0,0.0,378.0,137.0,361.0,0.0,2.0,4025.0,197.0,35.0,180.0,0.0,50.0,50.0,38.0,23701.0,31.0,32.0,24.0,14274.0,19.0,19.0,15.0,21.0,33.0,887.0,-20.0,857.0
2015,Amarawati,6.0,1.0,214.0,68.0,69.0,1019.0,25.0,19.0,728.0,0.0,0.0,0.0,1.0,1.0,1400.0,126.0,100.0,792.0,108.0,58.0,532.0,32.0,11.0,353.0,8.0,11.0,1392.0,0.0,0.0,250.0,374.0,138.0,368.0,0.0,2.0,5300.0,200.0,75.0,375.0,0.0,48.0,56.0,42.0,31873.0,36.0,42.0,32.0,13922.0,16.0,19.0,14.0,21.0,33.0,1093.0,-20.0,921.0
2016,Amarawati,7.0,5.0,667.0,74.0,112.0,1520.0,24.0,29.0,1230.0,0.0,0.0,0.0,2.0,5.0,2136.0,134.0,164.0,1228.0,123.0,147.0,1198.0,43.0,29.0,685.0,5.0,6.0,1326.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,1.0,2744.0,200.0,145.0,723.0,0.0,50.0,44.0,34.0,22777.0,34.0,30.0,23.0,10833.0,16.0,14.0,11.0,21.0,33.0,1093.0,-20.0,921.0
2017,Amarawati,7.0,3.1549098935079947,615.135657274163,70.75028512724312,94.74642651262074,1391.0990298394706,20.10446830555146,26.89930315600906,1032.5081690879626,-0.24703451870222556,6.866687701847604e-05,137.26672717232134,1.1908493395699349,3.342134511882964,2024.4338942925424,136.56,134.55415805203097,1082.4801361126792,124.7,147.0,1006.7655880426973,45.563276676740514,18.943454700793133,404.69047774119895,5.0,7.284123016058538,1372.5032711148533,1.5192908393215678e-64,0.0,285.78101204228295,0.0,59.02657258925305,468.4959019108445,0.0,1.1725782903410955,5710.267723557841,200.0,74.90522118402458,417.14504042816884,9.770913053308208,50.0,44.0,37.46777380109784,22777.0,34.47384597289312,30.000000000000004,23.0,10758.140029101647,14.956095803526091,13.948115405831304,11.608829260886578,20.874696837197476,32.98882894351691,966.5686274509801,-18.689970878336513,885.7450980392153
2018,Amarawati,7.0,3.154638665074037,768.3473099481484,67.83451559721482,101.6720286508127,1391.103593694202,16.917195136381437,26.899481519436726,1032.5075021120035,-0.37921016297284993,6.903055242013559e-05,226.94409691496674,1.845817407862159,3.3419821039841846,1971.424900622266,139.12,137.20948994713132,1064.4864874758348,126.4,147.0,737.0672692497544,47.54791794799718,18.942635788556537,404.6205132049859,5.0,7.283931524688074,1389.175048091275,1.5192908393215678e-64,4.799029804466019e-240,250.20644389816786,0.0,59.038911167923274,642.7778506071322,8.564896507637149e-82,1.0977171195801223,4682.081867606623,200.0,58.48968506860847,280.48438779888636,16.840606681935498,50.0,44.0,34.08942844677747,22777.0,34.47426742870213,30.000000000000004,23.0,12152.671321384361,13.560033395452566,16.015406671982237,12.717376362127604,20.874575946318977,32.98867696132512,966.5686274509801,-17.4700975952164,885.7450980392156
2019,Amarawati,7.0,3.154500232107097,727.5270964434304,65.21630472967054,98.89106850037884,1391.1057026048647,13.729817167110607,26.899557826322354,1032.5071277465477,-0.511361382367596,6.921286788716859e-05,285.4762840441805,1.3154790200040907,3.3418978888083894,1946.1137335784986,141.68,139.86784902976717,1038.049355329064,128.1,147.0,808.9647866766702,49.085309775527385,18.942142434176386,404.5721760104936,5.0,7.283834447925628,1405.8819269623696,1.5192908393215678e-64,4.799029804466019e-240,246.439453316197,0.0,59.04372164039565,643.3298067087304,4.146217753165407e-82,1.0278624047855922,6402.27928325231,200.0,122.79807710688883,619.3832222840913,20.462371945536347,50.0,44.0,37.38213337886944,22777.0,34.474523346614326,30.000000000000004,23.0,12382.782840595808,13.560052848120431,16.313703122866666,12.953875564884319,20.87448208477511,32.98854640218282,966.5686274509806,-16.333764989550286,885.7450980392157
2020,Amarawati,7.0,3.1544293822647433,677.2588922761483,62.863939748451784,100.0081515907168,1391.1066437625295,10.542391937877165,26.899587358498973,1032.506906638454,-0.6435097927777411,6.930420649604993e-05,323.6813111371647,1.7450400847033625,3.3418508885889233,1933.939676964058,144.24,142.52657840108643,1075.235358082064,129.79999999999998,147.0,918.2536841721109,50.27756459483031,18.941848358983012,404.5384284755716,5.0,7.283785431251617,1422.6387351572705,1.5192908393215678e-64,4.799029804466019e-240,246.45816771233214,0.0,59.04515841033653,643.7565895460359,5.490496484147764e-82,0.9626617801411348,5302.447519068161,200.0,100.20935187656633,597.5755119718502,22.317193626332312,50.0,44.0,34.17210314974145,22777.0,34.474679445324234,30.000000000000004,23.0,12614.214537098147,13.559805738475838,16.61425753956706,13.191156504337016,20.87440765787515,32.98843435153627,966.5686274509801,-15.27488536471121,885.7450980392156
2021,Amarawati,7.0,3.154393069653227,639.0219424395592,60.74926002783471,99.55927802384711,1391.1070671054727,7.354839410631472,26.89959817573737,1032.5067924334,-0.7756601448695937,6.935012152623808e-05,348.626765549322,1.3969990135902535,3.3418246670708167,1928.0081937196042,146.8,145.18750457642253,1151.2061377549799,131.49999999999997,147.0,891.2677130407031,51.202641339755914,18.941672336896552,404.5146772424189,5.0,7.283760684171381,1439.4272396739416,1.5192908393215678e-64,4.799029804466019e-240,246.44680645564105,0.0,59.04565504407407,644.04713573235,4.345938331928338e-82,0.9017862515204358,6754.910730504875,200.0,61.941507210752576,338.21805613350153,23.268175534909865,50.0,44.0,37.30276187658853,22777.0,34.474774767331,30.000000000000004,23.0,12844.835176481543,13.559975813471974,16.91354807434121,13.42813956754738,20.87434898255709,32.9883377034386,966.5686274509804,-14.287851658084175,885.7450980392158
2022,Amarawati,7.0,3.154374452855969,579.4598950005698,58.84725576431618,99.73970641791534,1391.1072579908669,4.167205121485223,26.899602743538534,1032.506724814075,-0.9078150775203944,6.937326026301957e-05,364.9209097675972,1.6790733987103625,3.341809983907987,1925.0633872593442,149.36,147.84829487884258,1127.193372740292,133.19999999999996,147.0,846.9150953442708,51.92101996166746,18.941566903642762,404.49787998032264,5.0,7.283748176682763,1456.224208944542,1.5192908393215678e-64,4.799029804466019e-240,246.44749384196825,0.0,59.045829645835326,644.2679617949985,4.340089481896618e-82,0.8449324734337972,5673.123891367521,200.0,100.9403028917722,492.8247224051347,23.755497670818535,50.0,44.0,34.24887907278012,22777.0,34.47483307441383,30.000000000000004,23.0,13076.144302557228,13.559913790141817,17.213926882745973,13.66538364677197,20.87430202248592,32.98825404842798,966.5686274509807,-13.367495408098607,885.7450980392159
2023,Amarawati,7.0,3.154364911155329,570.2142373367363,57.13579285414693,99.66715886741001,1391.1073441665947,0.979555105901722,26.899604503298814,1032.506686487156,-1.0399761234972202,6.938491709365229e-05,375.5678083392156,1.4503977758648232,3.3418017847703667,1923.5507002049585,151.92000000000002,150.50928249048522,1138.291590247367,134.89999999999995,147.0,856.9832041318451,52.47936682449221,18.941502203275085,404.48596964182906,5.0,7.28374184595722,1473.05505638457,1.5192908393215678e-64,4.799029804466019e-240,246.44956632082585,0.0,59.04589092532122,644.4334544547756,3.8726059217093776e-82,0.7918196399718983,6946.089715262247,200.0,109.60903401804086,659.5328385710898,24.005166567929145,50.0,44.0,37.228469143994815,22777.0,34.47486884526599,30.000000000000004,23.0,13307.027321740517,13.559980013613066,17.51371720804798,13.90253128615141,20.87426533057457,32.98818179322813,966.5686274509806,-12.509048810199802,885.7450980392159
1966,Aurangabad,5.0,1.0,200.0,87.0,33.0,379.0,398.0,249.0,625.0,169.0,33.0,195.0,3.0,5.0,1667.0,44.0,14.0,318.0,49.0,10.0,204.0,562.0,40.0,72.0,64.0,13.0,203.0,8.0,1.0,182.0,382.0,17.0,45.0,9.0,52.0,6129.0,153.0,10.0,65.0,8.0,89.0,3.0,3.0,423.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,33.0,1093.0,95.0,842.0
