District,R²,RMSE
Ahmednagar,0.9917538322259629,11.387205398492338
Akola,0.9704361389241204,55.29792296391727
Amarawati,0.9860219919000305,19.20355990525888
Aurangabad,0.9920276212076006,13.125218212456163
Beed,0.9698246882554904,34.305893091519124
Bhandara,0.9440982292885086,47.77126646602569
Buldhana,0.9689813231990021,45.43889012181756
Chandrapur,0.9666737860560972,24.27930775095098
Dhule,0.9868760359065784,16.09538102568375
Jalgaon,0.985897532106055,20.38075881113082
Kolhapur,0.9593903525517006,7.952860462669417
Nagpur,0.9715699429419051,15.642919713986057
Nanded,0.9677867441258452,73.94104027086831
Nasik,0.9581331726700428,21.953889822149698
Osmanabad,0.9734333289430673,29.07281374302575
Parbhani,0.9862341319477117,15.326578148387402
Pune,0.9821872151492745,23.158368912063178
Sangli,0.9828795360771253,18.9181943214148
Satara,0.9691031118648626,7.962723782019957
Solapur,0.9753742371029083,20.25679737682148
Yeotmal,0.9770777672605577,17.99214216384309
