Dist Name,Feature,MSE,MAE,RMSE,MAPE,R-squared
Akola,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),5.995276803,1.301818466,2.448525434,6.335871109,0.670027501
Akola,FOREST AREA (1000 ha),16.06259675,2.157844471,4.007816956,3.315392185,0.676451706
Akola,TOTAL AREA (1000 ha),0.036332057,0.069211717,0.190609697,0.006557463,0.72529163
Akola,Irrigated Area,151.6547325,8.650617589,12.3148176,18842368.67,0.74821491
Akola,POTASH PER HA OF GCA (Kg per ha),1.789311432,1.050394784,1.337651461,33647.78653,0.787471784
Akola,POTASH PER HA OF NCA (Kg per ha),3.067382152,1.280715639,1.751394345,49948.93494,0.823397753
Akola,POTASH CONSUMPTION (tons),1981353.595,1022.949864,1407.605625,46398016.68,0.82542798
Akola,GROSS CROPPED AREA (1000 ha),2830.913016,33.85863772,53.20632497,3.396872756,0.833668724
Akola,CROPING INTENSITY (Percent),35.07167849,3.549626577,5.922134623,2.88671071,0.857804142
Akola,PHOSPHATE PER HA OF GCA (Kg per ha),14.30396054,2.72471504,3.782057712,37.19557996,0.88341062
Akola,NITROGEN PER HA OF GCA (Kg per ha),21.89898403,3.355714446,4.679635032,16.45507973,0.892986275
Akola,NITROGEN CONSUMPTION (tons),22890858.24,3637.564542,4784.439177,17.25407373,0.91329526
Akola,NITROGEN PER HA OF NCA (Kg per ha),34.5968854,4.360139783,5.881911713,16.46727048,0.913493351
Akola,PHOSPHATE PER HA OF NCA (Kg per ha),20.76088438,3.124292459,4.556411349,44.09352975,0.913573678
Akola,PHOSPHATE CONSUMPTION (tons),13563491.82,2497.067818,3682.864621,43.6231023,0.913912421
Akola,TOTAL PER HA OF NCA (Kg per ha),103.7245805,7.195107749,10.18452652,17.21176547,0.92994494
Akola,TOTAL CONSUMPTION (tons),67543324.64,5949.720015,8218.474593,17.86484317,0.930557992
Amarawati,TOTAL AREA (1000 ha),0.004540011,0.034643697,0.067379606,0.002835598,-1.333709382
Amarawati,Evapotranspiration (mm),3782.524249,50.21489065,61.50222963,7.05916079,-0.000215589
Amarawati,Annual Rainfall,35107.63713,154.9463424,187.3703208,18.41850424,-0.000193522
Amarawati,Precipitation (mm),31842.76697,140.6324246,178.4454174,15.10585297,-9.94E-05
Amarawati,Max Temp (Centigrate),0.159013138,0.32592831,0.398764515,0.994208736,0.038515433
Amarawati,NITROGEN SHARE IN NPK (Percent),40.27791961,4.258627451,6.346488762,7.360777715,0.111361148
Amarawati,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),1.054638094,0.525477068,1.026955741,2.653254623,0.241391357
Amarawati,POTASH SHARE IN NPK (Percent),20.10853726,3.178758231,4.484254371,1549716.311,0.264227045
Amarawati,Min Temp (Centigrate),0.183666179,0.360212985,0.428562923,1.7541069,0.274187455
Amarawati,Yield,11006870.31,2559.978528,3317.660367,14.89762071,0.325607267
Amarawati,PHOSPHATE SHARE IN NPK (Percent),26.4539125,3.568836616,5.143336709,14.42759966,0.350571435
Amarawati,OTHER FALLOW AREA (1000 ha),20.48294118,2.790196078,4.525808345,15.31932129,0.371366125
Amarawati,CULTIVABLE WASTE LAND AREA (1000 ha),4.42122125,1.318561347,2.102670029,12.17426963,0.378288619
Amarawati,Production,53589.12938,167.3854396,231.4932599,23.40992035,0.438980991
Amarawati,Area,7767.556127,57.1845098,88.13374001,5.167370237,0.571745676
Amarawati,PERMANENT PASTURES AREA (1000 ha),63.75525919,5.606799152,7.984689048,12.77857393,0.665743597
Amarawati,CROPING INTENSITY (Percent),75.65323652,5.174862971,8.6978869,4.297768666,0.668321191
Amarawati,NET CROPPED AREA (1000 ha),136.8048823,7.490023138,11.69636193,1.029090559,0.674468321
Amarawati,GROSS CROPPED AREA (1000 ha),4600.112857,42.20749093,67.82413182,4.748475407,0.726643694
Amarawati,CURRENT FALLOW AREA (1000 ha),21.84430277,3.207704964,4.67378891,20.23869574,0.759466388
Amarawati,POTASH PER HA OF GCA (Kg per ha),3.334231222,1.353505063,1.825987739,51198.06828,0.78012879
Amarawati,Irrigated Area,235.2095677,7.958985451,15.33654354,14643406.8,0.789576678
Amarawati,PHOSPHATE PER HA OF GCA (Kg per ha),17.69273333,2.667058824,4.206273093,25.96124654,0.808586362
Amarawati,POTASH PER HA OF NCA (Kg per ha),4.14835808,1.499187409,2.036751845,66308.14857,0.840473494
Amarawati,POTASH CONSUMPTION (tons),2302527.367,1107.630447,1517.408108,50795755.49,0.845365907
Amarawati,FOREST AREA (1000 ha),26.6127451,2.092156863,5.15875422,0.635475725,0.857874019
Amarawati,PHOSPHATE PER HA OF NCA (Kg per ha),17.27396154,2.710995741,4.156195561,23.72082751,0.884906464
Amarawati,PHOSPHATE CONSUMPTION (tons),9807356.899,2065.671163,3131.669986,26.55913619,0.885570064
Amarawati,NITROGEN PER HA OF GCA (Kg per ha),15.12687601,2.944132151,3.889328478,13.88348219,0.896220815
Amarawati,LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),1.837833451,0.941231223,1.355667161,2.391508547,0.90128557
Amarawati,TOTAL CONSUMPTION (tons),45415086.87,4562.488274,6739.071663,13.08069347,0.924822755
Amarawati,TOTAL PER HA OF NCA (Kg per ha),78.81324544,6.12083045,8.877682437,13.16403796,0.924960125
Amarawati,NITROGEN CONSUMPTION (tons),10000916.88,2149.194925,3162.422629,11.12721982,0.932429407
Amarawati,NITROGEN PER HA OF NCA (Kg per ha),16.83757924,2.811926182,4.103361943,10.93951977,0.934315203
Beed,PHOSPHATE SHARE IN NPK (Percent),39.36936279,4.257871939,6.274500999,15.81506867,-0.221096527
Beed,Annual Rainfall,33915.20849,137.436086,184.1608224,23.51208185,-0.000121356
Beed,NET CROPPED AREA (1000 ha),4971.88776,47.13883861,70.51161437,6.656929713,-6.74E-05
Beed,Evapotranspiration (mm),6059.078097,58.82573365,77.84008027,9.858945286,0.125717514
Beed,Yield,11529700.28,2494.59137,3395.541235,19.36316557,0.231749969
Beed,Max Temp (Centigrate),0.130070365,0.302791569,0.360652693,0.91900335,0.252397073
Beed,Precipitation (mm),26606.24924,133.5450668,163.1142214,23.71955704,0.266712959
Beed,POTASH SHARE IN NPK (Percent),22.06950471,3.528272398,4.697819144,1589179.938,0.279845911
Beed,CURRENT FALLOW AREA (1000 ha),1709.135717,26.94984181,41.34169466,35.15160405,0.298145305
Beed,NITROGEN SHARE IN NPK (Percent),42.34802242,5.228160524,6.507535818,9.487304467,0.315428196
Beed,FOREST AREA (1000 ha),1.271300366,0.672952445,1.127519564,2.84449296,0.337753
Beed,Min Temp (Centigrate),0.157260874,0.338620662,0.396561312,1.735288441,0.354024513
Beed,Production,60774.0807,192.9651378,246.5239962,30.69935604,0.38881674
Beed,CULTIVABLE WASTE LAND AREA (1000 ha),50.39800852,4.012697027,7.099155479,11.93073491,0.393421766
Beed,OTHER FALLOW AREA (1000 ha),364.0786529,9.762337167,19.08084518,16.5263658,0.435085942
Beed,GROSS CROPPED AREA (1000 ha),5395.043682,53.98913743,73.45096107,6.266772935,0.443051108
Beed,PERMANENT PASTURES AREA (1000 ha),5.351747516,1.422505937,2.313384429,3.777871137,0.487056356
Beed,CROPING INTENSITY (Percent),74.85552471,4.947286412,8.651908732,3.94660524,0.511131726
Beed,Area,17263.9677,86.52736065,131.3924187,6.434910449,0.525721048
Beed,LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),18.77111481,2.655755267,4.332564461,6.110736787,0.601564849
Beed,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),5.706049633,1.182375607,2.388733897,5.9266704,0.640579514
Beed,POTASH PER HA OF NCA (Kg per ha),15.160429,2.604398119,3.893639558,90295.96573,0.770543787
Beed,POTASH PER HA OF GCA (Kg per ha),8.146592342,2.000576339,2.854223597,67842.14244,0.779112224
Beed,POTASH CONSUMPTION (tons),8119121.358,1879.851283,2849.407194,96373210.21,0.779789459
Beed,Irrigated Area,1982.062061,26.1001875,44.52035558,41575283.64,0.807411093
Beed,NITROGEN PER HA OF NCA (Kg per ha),74.06181976,5.753726362,8.605917718,46.94425852,0.887348625
